,Pavadinimas,Metascore
0,1. Dekalog (1988),100
1,2. Celine and Julie Go Boating (1974),100
2,3. The Leopard  ,100
3,4. Citizen Kane,100
4,5. Three Colors: Red,100
5,6. Sweet Smell of Success  ,100
6,7. Best Kept Secret,100
7,8. Lawrence of Arabia  ,100
8,9. Tokyo Story,100
9,10. The Conformist,100
10,11. Fanny and Alexander  ,100
11,12. The Godfather,100
12,13. Boyhood,100
13,14. Voyage to Italy  ,100
14,15. Vertigo,100
15,16. Casablanca,100
16,17. Rear Window,100
17,18. Notorious,100
18,19. Army of Shadows,99
19,20. Moonlight,99
20,21. The Rules of the Game,99
21,22. Playtime,99
22,23. Touch of Evil,99
23,24. Shoah  ,99
24,25. Intolerance,99
25,26. City Lights,99
26,27. Singin' in the Rain,99
27,28. Pinocchio,99
28,29. All About Eve,98
29,30. The Treasure of the Sierra Madre,98
30,31. The Wild Bunch,98
31,32. Hoop Dreams,98
32,33. The Lady Vanishes,98
33,34. The Passion of Joan of Arc,98
34,35. Rashomon,98
35,36. Seven Samurai,98
36,37. Pan's Labyrinth,98
37,38. Au hasard Balthazar,98
38,39. Pépé le Moko  ,98
39,40. Metropolis  ,98
40,41. Some Like It Hot,98
41,42. North by Northwest,98
42,43. My Left Foot,97
43,44. A Streetcar Named Desire,97
44,45. Gone with the Wind,97
45,46. Dragon Inn (1967),97
46,"47. 4 Months, 3 Weeks and 2 Days",97
47,48. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97
48,49. Rififi  ,97
49,50. The Night of the Hunter,97
50,51. The Adventures of Robin Hood  ,97
51,52. Ran,97
52,53. King in the Wilderness,97
53,54. Le Petit Soldat  ,97
54,55. Jules and Jim,97
55,56. Psycho,97
56,57. American Graffiti,97
57,58. The Maltese Falcon,97
58,59. 12 Angry Men,97
59,"60. Quo Vadis, Aida?",97
60,61. Battleship Potemkin,97
61,62. The Third Man,97
62,"63. Summer of Soul (...Or, When the Revolution Could Not Be Televised)",96
63,64. A Hard Day's Night  ,96
64,65. Rosemary's Baby,96
65,66. Snow White and the Seven Dwarfs,96
66,67. Manchester by the Sea,96
67,68. Fantasia,96
68,69. Nashville,96
69,70. Man with a Movie Camera,96
70,71. Red River,96
71,72. The Lady Eve,96
